Aquí tienes el calendario completo con los **horarios adaptados a la hora peninsular de España (CEST)** para todos los partidos de la fase de grupos del Mundial de Fútbol 2026, organizados por grupos para que sea más fácil seguir el torneo.

---

## 📅 Fase de Grupos: Horarios en España (Hora Peninsular)

### Grupo A

| Partido | Fecha | Hora España |
| Inglaterra 🏴󠁧󠁢󠁥󠁮󠁧󠁿 vs. Ghana 🇬🇭 | Martes 23 de junio | 22:00 h |
| Panamá 🇵🇦 vs. Croacia 🇭🇷 | Miércoles 24 de junio | 01:00 h |
| Panamá 🇵🇦 vs. Inglaterra 🏴󠁧󠁢󠁥󠁮󠁧󠁿 | Sábado 27 de junio | 23:00 h |
| Croacia 🇭🇷 vs. Ghana 🇬🇭 | Sábado 27 de junio | 23:00 h |

---

## 🏆 Rondas Eliminatorias (Fechas y Franjas Horarias)

A partir de la conclusión de la fase de grupos, los partidos se distribuirán en franjas horarias que van desde la tarde hasta la madrugada en España:

* **Dieciseisavos de final:** Del 28 de junio al 3 de julio. (Franjas estimadas: 18:00 h, 19:00 h, 21:00 h, 22:00 h, 22:30 h, 02:00 h, 03:00 h y 05:00 h).
* **Octavos de final:** Del 4 al 7 de julio. (Franjas de tarde a partir de las 18:00 h y madrugada a las 02:00 h).
* **Cuartos de final:** Del 9 al 11 de julio (21:00 h, 22:00 h y 23:00 h).
* **Semifinales:** 14 y 15 de julio (Ambas a las 21:00 h).
* **Tercer y cuarto puesto:** Sábado 18 de julio.
* **Gran Final:** Domingo 19 de julio.
